name,duration_ms,duration_seg,track_id,popularity,artist_name
Ava,238240,3.97,5i1ckaduJ5lMO5wRawsuMp,66,Famy
It's Called: Freefall - Sped Up,68834,1.15,5tPCT2Xp6p8chUIoy6VOJW,74,noturgf
Shootout (Slowed + Reverb),140142,2.34,1S7ca5mJlpHn7GCE88jejz,68,Izzamuzzic
Ontario,192866,3.21,1XZPtZVqcOzzxbYIR7MjQw,71,Novo Amor
Losing Interest - Slowed Version,116920,1.95,6ZwTqNc7Ln6Dhn5UKNZJHy,61,boy in skirt
I Don't Trust Nobody,63120,1.05,2Er5O8OUPAWkqAPJMVscna,61,iZthoN
wind,80105,1.34,5fKfolCfN719n7W5mJUA1i,13,huewgo
Your Name - Alternative,163182,2.72,58aUcXS67lMkTXQ5sayQiZ,51,Lissom
Set Fire to the Rain x Another Love,221610,3.69,0QYRpoWMhXrAeDhz0cDc7S,58,Ren0wned
All The Stars,158286,2.64,3YDjXk0eiQm2Qd8cr5ssBV,65,Lonely in the Rain
MEMORIAS,228750,3.81,2hLXUbsOU9cDb9RFva9FYr,80,Mora
LA INOCENTE,202173,3.37,5jt25aFjW2kNoBqaEVaz5W,86,Mora
Yandel 150,216148,3.6,4FAKtPVycI4DxoOHC01YqD,81,Yandel
PUNTO G,151324,2.52,4WiQA1AGWHFvaxBU6bHghs,82,Quevedo
Desesperados,224996,3.75,6mmPpaltUZK7xjNlBPQQ0p,80,Rauw Alejandro
La Jumpa,255693,4.26,2mnXxnrX5vCGolNkaFvVeM,77,Arcángel
Feliz Cumpleaños Ferxxo,155960,2.6,2CeKVsFFXG4QzA415QygGb,87,Feid
Hey Mor,196600,3.28,1zsPaEkglFvxjAhrM8yhpr,86,Ozuna
VISTA AL MAR,180672,3.01,5q86iSKkBtOoNkdgEDY5WV,79,Quevedo
LOKERA,197101,3.29,1aUq8rjW1EwkAkMri4VfJy,79,Rauw Alejandro
PUNTO 40,190654,3.18,4UGqAW9i7NtE5mW9xzm6yk,75,Rauw Alejandro
"Quevedo: Bzrp Music Sessions, Vol. 52",198937,3.32,2tTmW7RDtMQtBk7m2rYeSw,87,Bizarrap
Efecto,213061,3.55,5Eax0qFko2dh7Rl2lYs3bx,85,Bad Bunny
Besos Moja2,229064,3.82,6OzUIp8KjuwxJnCWkXp1uL,79,Wisin & Yandel
CHORRITO PA LAS ANIMAS,168133,2.8,0CYTGMBYkwUxrj1MWDLrC5,84,Feid
PLAYA DEL INGLÉS,237525,3.96,0Sfn2TYbpQtCGMBf6C0Y6T,77,Quevedo
LALA,197920,3.3,7ABLbnD53cQK00mhcaOUVG,91,Myke Towers
Enséñame a Bailar,176000,2.93,2NMjggapJcXXM7WccGEBUO,76,Bad Bunny
Caminando por la vida,211680,3.53,3v1dCP3hk2djfWryqfp7sx,71,Melendi
Volvera,229746,3.83,4QBrx05HrLnohYaS1cPGHO,62,El Canto Del Loco
Soldadito marinero,254373,4.24,0eVborSuxUeSg0meWYd9dZ,70,Fito y Fitipaldis
Todos los días sale el sol,146337,2.44,1tmwswvJnwOIrskyCKVsgv,61,Bongo Botrako
Purpurina,192000,3.2,4FrThBco0jLqXEMULUhSM9,58,Alberto Gambino
Gat Rumberu,157373,2.62,5Lf6RG1wOomzOZLYZuB3XK,43,La Pegatina
La flama,212520,3.54,4jJGiNGzoUV4uacldNW5Qb,38,Obrint Pas
Paseo,216440,3.61,6pWeJvzpQR1ihiUSJklOzD,65,Estopa
Mi Estrella Blanca,278958,4.65,15h9quQgltWsgYsdqSyPNb,65,Fondo Flamenco
Zapatillas,172640,2.88,42VgiRyg0YjtRVLiPFNxPJ,67,El Canto Del Loco
Eres Tonto,192426,3.21,4b0nenyFuMI1R48IoZBhTe,56,El Canto Del Loco
Besos,145826,2.43,7MKO7rUZzjw8p87zdZDgqa,66,El Canto Del Loco
Estrella Polar (with Juan Aguirre),211506,3.53,5NV19rJlAYrAAFXQTZVC55,59,Pereza
Más Colao Que el Colacao,161186,2.69,6ZoOG5syYD7pQTkwdYQKeo,59,La La Love You
